               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.015008,            0.030193,           0.0024598,             0.97727,             0.95293,             0.97657,             0.89535,            0.013771,            0.016992,           0.0016428,             0.00307,             0.00307,             0.00307
                  37,            0.014413,             0.02905,           0.0026511,             0.97757,             0.95035,              0.9736,             0.89616,            0.014234,             0.01749,          0.00098399,            0.002872,            0.002872,            0.002872
                  38,            0.014323,            0.029252,           0.0020673,             0.97781,             0.94941,             0.97554,             0.89132,            0.014264,            0.017298,          0.00083057,            0.002674,            0.002674,            0.002674
                  39,            0.013998,            0.028602,           0.0018797,             0.95865,             0.95524,             0.97307,             0.89125,            0.014098,            0.017747,          0.00079588,            0.002476,            0.002476,            0.002476
                  40,             0.01401,            0.028751,           0.0019947,             0.97886,             0.95553,             0.97776,             0.89501,            0.013643,            0.017003,          0.00081955,            0.002278,            0.002278,            0.002278
                  41,            0.013482,            0.028206,           0.0020752,              0.9816,              0.9505,             0.97622,             0.89938,            0.013666,            0.016695,          0.00068378,             0.00208,             0.00208,             0.00208
                  42,             0.01309,            0.028733,           0.0016461,             0.97969,             0.95652,             0.97908,             0.90743,            0.013226,            0.016911,          0.00064721,            0.001882,            0.001882,            0.001882
                  43,            0.013307,            0.028424,           0.0018659,             0.97766,              0.9538,             0.97489,             0.89561,            0.013996,            0.017231,          0.00064468,            0.001684,            0.001684,            0.001684
                  44,            0.013013,            0.027007,           0.0018202,             0.97365,             0.95464,             0.97585,             0.90264,            0.013616,            0.017005,          0.00067532,            0.001486,            0.001486,            0.001486
                  45,            0.012688,            0.027661,           0.0017295,             0.97213,             0.96179,             0.97822,             0.90694,            0.013102,            0.016635,          0.00065584,            0.001288,            0.001288,            0.001288
                  46,            0.012836,            0.026971,            0.001511,             0.97806,             0.95569,             0.97742,             0.90844,            0.012854,            0.016528,           0.0005371,             0.00109,             0.00109,             0.00109
                  47,            0.012374,            0.026962,           0.0015582,             0.97615,              0.9542,             0.97595,             0.90974,            0.012999,            0.016532,          0.00058262,            0.000892,            0.000892,            0.000892
                  48,            0.011764,            0.026224,           0.0015913,             0.97804,             0.95551,             0.97701,             0.91304,            0.012814,             0.01629,          0.00048257,            0.000694,            0.000694,            0.000694
                  49,            0.011784,            0.025746,           0.0013923,             0.97999,             0.95603,              0.9775,             0.91546,            0.012533,            0.016134,           0.0005943,            0.000496,            0.000496,            0.000496
